Fiscal Year,State_Abbr,FIPS,State/Territory,Over Payments,Under Payments,Payment Error Rates,Source_Document
2009,SC,45,South Carolina,3.96,0.6,4.56,
2010,SC,45,South Carolina,4.25,0.89,5.14,
2011,SC,45,South Carolina,2.95,0.19,3.14,
2012,SC,45,South Carolina,1.43,0.16,1.59,
2013,SC,45,South Carolina,1.56,0.19,1.75,
2014,SC,45,South Carolina,0.99,0.1,1.09,
2017,SC,45,South Carolina,3.05,1.16,4.21,
2018,SC,45,South Carolina,4.7,0.57,5.27,
2019,SC,45,South Carolina,4.11,0.98,5.09,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,SC,45,South Carolina,7.49,1.7,9.19,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,SC,45,South Carolina,20.94,1.63,22.57,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,SD,46,South Dakota,0.9,0.25,1.16,
2004,SD,46,South Dakota,1.69,0.28,1.97,
2005,SD,46,South Dakota,1.01,0.18,1.19,
2006,SD,46,South Dakota,1.51,0.32,1.83,
2007,SD,46,South Dakota,1.02,0.26,1.28,
2008,SD,46,South Dakota,0.74,0.25,1,
2009,SD,46,South Dakota,0.69,0.25,0.94,
2010,SD,46,South Dakota,0.94,0.37,1.31,
2011,SD,46,South Dakota,1.29,0.3,1.59,
2012,SD,46,South Dakota,1.28,0.09,1.37,
2013,SD,46,South Dakota,0.71,0.28,0.99,
2014,SD,46,South Dakota,1.13,0.13,1.26,
2015,SD,46,South Dakota,0.61,0.14,0.75,
2017,SD,46,South Dakota,0.85,0.36,1.21,
2018,SD,46,South Dakota,0.9,0.13,1.04,
2019,SD,46,South Dakota,1.91,0.5,2.41,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,SD,46,South Dakota,2.68,0.39,3.07,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,SD,46,South Dakota,2.87,0.4,3.27,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,TN,47,Tennessee,6.13,1.07,7.2,
2004,TN,47,Tennessee,4.98,1.71,6.69,
2005,TN,47,Tennessee,5.28,0.73,6.01,
2006,TN,47,Tennessee,5.13,0.44,5.57,
2007,TN,47,Tennessee,4.37,0.76,5.13,
2008,TN,47,Tennessee,4.47,0.41,4.89,
2009,TN,47,Tennessee,3.03,0.25,3.28,
2010,TN,47,Tennessee,3.96,0.43,4.39,
2011,TN,47,Tennessee,4.87,0.58,5.46,
2012,TN,47,Tennessee,2.72,0.53,3.25,
2013,TN,47,Tennessee,1.22,0.1,1.32,
2014,TN,47,Tennessee,1,0.08,1.08,
2017,TN,47,Tennessee,3.96,0.52,4.48,
2018,TN,47,Tennessee,3.58,0.61,4.19,
2019,TN,47,Tennessee,5.88,0.84,6.72,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,TN,47,Tennessee,19.04,0.75,19.79,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,TN,47,Tennessee,11.54,1.02,12.56,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,TX,48,Texas,2.23,1.06,3.29,
2004,TX,48,Texas,2.85,1.27,4.12,
2005,TX,48,Texas,3.58,1.46,5.03,
2006,TX,48,Texas,5.11,1.35,6.46,
2007,TX,48,Texas,5.39,0.99,6.38,
2008,TX,48,Texas,5.38,1.74,7.11,
2009,TX,48,Texas,5.83,1.07,6.9,
2010,TX,48,Texas,1.54,0.59,2.13,
2011,TX,48,Texas,2.63,0.85,3.48,
2012,TX,48,Texas,2.92,0.71,3.63,
2013,TX,48,Texas,1.24,0.21,1.44,
2014,TX,48,Texas,0.33,0.3,0.63,
2017,TX,48,Texas,2.81,1.32,4.13,
2018,TX,48,Texas,3.37,1.48,4.84,
2019,TX,48,Texas,5.18,1.43,6.6,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,TX,48,Texas,5.26,2.6,7.86,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,TX,48,Texas,4.54,2.15,6.7,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,UT,49,Utah,3.4,1.6,5,
2004,UT,49,Utah,2.73,1.03,3.76,
2005,UT,49,Utah,3.12,1.29,4.41,
2006,UT,49,Utah,3,1.22,4.22,
2007,UT,49,Utah,2.55,1.25,3.8,
2008,UT,49,Utah,2.84,1.18,4.02,
2009,UT,49,Utah,2.97,0.82,3.8,
2010,UT,49,Utah,2.8,1.54,4.33,
2011,UT,49,Utah,2.82,1.37,4.19,
2012,UT,49,Utah,1.49,0.91,2.39,
2013,UT,49,Utah,1.49,0.62,2.11,
2014,UT,49,Utah,2.06,0.73,2.79,
2017,UT,49,Utah,4.51,1.08,5.59,
2018,UT,49,Utah,5.21,0.76,5.97,
2019,UT,49,Utah,3.62,0.71,4.33,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,UT,49,Utah,5.58,1.03,6.61,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,UT,49,Utah,4.32,0.77,5.09,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,VA,51,Virginia,4.13,1.33,5.46,
2004,VA,51,Virginia,5.2,1.39,6.59,
2005,VA,51,Virginia,4.75,1.03,5.79,
2006,VA,51,Virginia,6.13,0.83,6.96,
2007,VA,51,Virginia,5.5,0.97,6.47,
2008,VA,51,Virginia,4.33,1.42,5.75,
2009,VA,51,Virginia,4.68,1.06,5.74,
2010,VA,51,Virginia,5.04,0.83,5.87,
2011,VA,51,Virginia,3.07,0.35,3.41,
2012,VA,51,Virginia,1.33,0.43,1.76,
2013,VA,51,Virginia,0.35,0.09,0.44,
2014,VA,51,Virginia,4.68,0.05,4.73,
2017,VA,51,Virginia,7.95,1.75,9.7,
2018,VA,51,Virginia,7.89,1.73,9.62,
2019,VA,51,Virginia,9.65,0.87,10.52,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,VA,51,Virginia,7.66,1.68,9.34,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,VA,51,Virginia,8.15,1.71,9.86,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,VI,78,Virgin Islands,5.87,1,6.88,
2004,VI,78,Virgin Islands,3.76,1.02,4.78,
2005,VI,78,Virgin Islands,1.98,0.13,2.11,
2006,VI,78,Virgin Islands,1.55,0.38,1.93,
2007,VI,78,Virgin Islands,2.82,0.22,3.03,
2008,VI,78,Virgin Islands,2.08,1.14,3.22,
2009,VI,78,Virgin Islands,2.66,0.18,2.83,
2010,VI,78,Virgin Islands,2.62,0.48,3.1,
2011,VI,78,Virgin Islands,3.33,1.43,4.77,
2012,VI,78,Virgin Islands,3.86,0.34,4.2,
2013,VI,78,Virgin Islands,3.26,0.32,3.58,
2014,VI,78,Virgin Islands,2.51,0.67,3.18,
2015,VI,78,Virgin Islands,2.05,0.31,2.36,
2017,VI,78,Virgin Islands,2.87,0.47,3.34,
2018,VI,78,Virgin Islands,5.85,1.02,6.87,
2019,VI,78,Virgin Islands,5.28,1.49,6.76,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,VI,78,Virgin Islands,5.95,1.28,7.22,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,VI,78,Virgin Islands,8.54,1.75,10.29,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,VT,50,Vermont,6.99,1.53,8.52,
2004,VT,50,Vermont,4.07,1.06,5.13,
2005,VT,50,Vermont,4.61,1.03,5.64,
2006,VT,50,Vermont,3.78,1.47,5.25,
2007,VT,50,Vermont,5.39,0.85,6.24,
2008,VT,50,Vermont,4.56,0.96,5.52,
2009,VT,50,Vermont,4.25,1.17,5.42,
2010,VT,50,Vermont,5.6,0.99,6.59,
2011,VT,50,Vermont,7.02,1.51,8.53,
2012,VT,50,Vermont,5.76,1.2,6.96,
2013,VT,50,Vermont,8.62,1.05,9.66,
2014,VT,50,Vermont,2.35,0.41,2.76,
2017,VT,50,Vermont,6.51,1.17,7.68,
2018,VT,50,Vermont,3.35,0.21,3.56,
2019,VT,50,Vermont,2.56,0.45,3.01,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,VT,50,Vermont,4.1,0.47,4.57,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,VT,50,Vermont,2.82,0.64,3.45,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,WA,53,Washington,5.02,1.26,6.28,
2004,WA,53,Washington,5.88,1.74,7.62,
2005,WA,53,Washington,1.67,1.05,2.72,
2006,WA,53,Washington,2.24,0.36,2.59,
2007,WA,53,Washington,2.44,0.49,2.93,
2008,WA,53,Washington,3.32,0.54,3.86,
2009,WA,53,Washington,1.39,0.43,1.81,
2010,WA,53,Washington,2.7,0.61,3.3,
2011,WA,53,Washington,3.34,0.48,3.81,
2012,WA,53,Washington,2.13,0.36,2.49,
2013,WA,53,Washington,1.45,0.26,1.71,
2014,WA,53,Washington,0.77,0,0.77,
2017,WA,53,Washington,4.52,0.9,5.42,
2018,WA,53,Washington,5.86,0.73,6.59,
2019,WA,53,Washington,4.1,0.78,4.88,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,WA,53,Washington,8.65,0.68,9.33,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,WA,53,Washington,5.67,1.07,6.74,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,WI,55,Wisconsin,6.78,2.54,9.32,
2004,WI,55,Wisconsin,4.84,1.81,6.65,
2005,WI,55,Wisconsin,3.45,2.16,5.61,
2006,WI,55,Wisconsin,4.29,1.88,6.17,
2007,WI,55,Wisconsin,4.42,1.48,5.9,
2008,WI,55,Wisconsin,5.29,2.09,7.38,
2009,WI,55,Wisconsin,0.79,0.32,1.11,
2010,WI,55,Wisconsin,1.37,0.6,1.97,
2011,WI,55,Wisconsin,1.78,0.23,2.02,
2012,WI,55,Wisconsin,1.39,0.68,2.07,
2013,WI,55,Wisconsin,2.18,0.23,2.4,
2014,WI,55,Wisconsin,1.99,0.56,2.55,
2017,WI,55,Wisconsin,6.26,0.92,7.17,
2018,WI,55,Wisconsin,6.65,1.28,7.94,
2019,WI,55,Wisconsin,4.64,0.76,5.4,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,WI,55,Wisconsin,3.81,0.58,4.39,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,WI,55,Wisconsin,4.74,0.41,5.15,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,WV,54,West Virginia,4.8,1.42,6.21,
2004,WV,54,West Virginia,5.49,1.1,6.58,
2005,WV,54,West Virginia,4.89,1.05,5.94,
2006,WV,54,West Virginia,6.25,1.1,7.34,
2007,WV,54,West Virginia,8.28,1.31,9.59,
2008,WV,54,West Virginia,6.52,0.87,7.4,
2009,WV,54,West Virginia,4.47,0.95,5.42,
2010,WV,54,West Virginia,5.96,1.18,7.14,
2011,WV,54,West Virginia,5.27,1.04,6.31,
2012,WV,54,West Virginia,5.94,1.13,7.06,
2013,WV,54,West Virginia,4.52,0.72,5.24,
2014,WV,54,West Virginia,4.37,0.52,4.9,
2015,WV,54,West Virginia,4.75,0.66,5.41,
2017,WV,54,West Virginia,8.15,1.43,9.58,
2018,WV,54,West Virginia,5.6,1.15,6.75,
2019,WV,54,West Virginia,5.66,1.78,7.44,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,WV,54,West Virginia,7.56,1.79,9.35,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,WV,54,West Virginia,9.83,1.15,10.98,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,WY,56,Wyoming,3.03,1.2,4.23,
2004,WY,56,Wyoming,3.03,1.66,4.69,
2005,WY,56,Wyoming,5.87,1.16,7.03,
2006,WY,56,Wyoming,3.98,1.41,5.39,
2007,WY,56,Wyoming,4.91,1.51,6.42,
2008,WY,56,Wyoming,1.86,0.83,2.69,
2009,WY,56,Wyoming,2.85,0.38,3.23,
2010,WY,56,Wyoming,3.54,1.22,4.76,
2011,WY,56,Wyoming,7.63,1.99,9.63,
2012,WY,56,Wyoming,5.45,1.74,7.18,
2013,WY,56,Wyoming,4.22,0.77,4.99,
2014,WY,56,Wyoming,4.35,0.83,5.19,
2015,WY,56,Wyoming,3.96,0.97,4.94,
2017,WY,56,Wyoming,2.52,0.83,3.35,
2018,WY,56,Wyoming,3.15,1.06,4.21,
2019,WY,56,Wyoming,2.25,0.17,2.42,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,WY,56,Wyoming,3.44,0.86,4.3,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,WY,56,Wyoming,4.33,0.86,5.19,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
